group,mean_exposure,ict_count_first,ict_count_last,demand_last,ict_count_cagr,cumulative_ict_count_yoy
Administrative and commercial managers,1.253742970186475,1.51960517107822,1.4704620191677866,3958.6626,-0.0023453806498309193,0.30561425384925767
"Agricultural, forestry and fishery labourers",-1.5142456066346772,0.8964414524205467,0.3268566307189486,57.7969,-0.06952967628834184,-4.107006473457995
Assemblers,-0.8593871556341274,0.08899799624767482,0.4945148589047263,458.2471,0.13031616054273787,16.616636784796064
Building and related trades workers (excluding electricians),-1.2907143748320926,0.33561240259743336,0.35326941004773915,11140.1658,0.003669146090046649,3.987212634037421
Business and administration associate professionals,1.0478081639659278,1.1384126714084004,1.9234019518532135,5959.567,0.03817199476295241,1.4226521494488238
Business and administration professionals,1.293706162215531,1.6045138148013622,2.4036479259101107,5573.77,0.029289804630201477,1.336771906828122
"Chief executives, senior officials and legislators",0.9610230216035534,0.4828138628335365,0.9345234328124625,611.4951,0.04830211434333953,2.452555573496768
Customer services clerks,0.6303640354643951,0.7207064974424083,2.293054205286978,1520.9937,0.08618547698472945,2.9538778428353734
Drivers and mobile plant operators,-0.6473029805426307,0.1714558807093361,0.5435704588428579,2996.7885,0.08590817931683081,3.714601924059262
Electrical and electronic trades workers,-0.7349496179052712,2.4286873963047957,1.9975271809858774,4479.786,-0.013863077203056906,0.7603727607467966
Food preparation assistants,-1.5850964494043671,0.3516574732047026,0.28697578580925576,500.45860000000005,-0.01441366914348896,10.544770846078908
"Food processing, woodworking, garment and other craft and related trades workers",-0.6779829308451333,0.5727088239014875,1.1191874882273114,1611.2505,0.049019347144128256,7.5524802233010995
General and keyboard clerks,1.2213061570791275,1.7347273327274095,1.4470037690376099,7405.604,-0.012870401075876337,0.24150845709584934
Handicraft and printing workers,-0.32556086158275016,5.123157048307073,0.7252925855142918,689.8496,-0.1303281801793581,12.316712232988317
Health associate professionals,-0.21068215870004492,0.4911927112723518,1.2981285080521199,5099.0548,0.07188342494823674,2.4752493941807336
Health professionals,0.2887832058201766,0.3757457685955629,1.039191194508381,10661.8465,0.07536832449256448,1.3423762920133822
"Hospitality, retail and other services managers",0.16352363563212194,0.4516297892299447,1.9161977260120835,234.90890000000002,0.10874760761029956,74.2382166579331
Information and communications technicians,0.4995513847055337,13.35283657777607,17.36756954123164,1075.2398,0.018954236885898368,1.6267701062994204
Information and communications technology professionals,1.1943636139008964,12.903245270314523,18.826281981042833,6948.7806,0.02735129311160933,0.4991111616942385
"Labourers in mining, construction, manufacturing and transport",-1.3370254996261164,0.7073338877333929,0.6383896286897958,698.311,-0.007298522199527091,8.863458262824272
"Legal, social and cultural professionals",1.2079945932272302,1.0011824328281596,1.6291287457470986,3347.0092,0.035387728290079634,2.3459778250312224
"Legal, social, cultural and related associate professionals",0.3598008232852465,0.3989419935918295,0.8668648166288369,3426.3948,0.05699857459831437,1.6161362972008768
Market-oriented skilled agricultural workers,-1.1063309154106995,1.812204469466352,0.358920265340799,860.9004,-0.10921935878348732,17.00407114892015
"Metal, machinery and related trades workers",-1.0504398253684317,1.2073974656175288,2.14339080893701,7006.2538,0.04184629179435584,2.0443543391812113
Numerical and material recording clerks,0.9230494529805006,1.4886434936481185,2.735529114819554,3252.2544000000003,0.04441967740156816,1.0406404197848311
Other clerical support workers,0.8912907744771499,1.669580353380598,2.7197947050224895,3023.8051,0.03547059709653655,1.218558388811787
Personal care workers,-0.3070549324017815,0.2745556718358708,0.749147711321324,4594.922,0.07433162399082693,3.320895527142027
Personal service workers,-0.7577211531984667,0.2709493637605903,0.5553493279410395,10568.3659,0.05259844113842571,2.0613305947976674
Production and specialised services managers,0.857573033629368,2.4121701401792435,2.7838136398020112,3472.7029,0.01028791650614469,0.7128004676175299
Protective services workers,-0.251524094174202,0.5300311565461344,0.7020540712778565,2795.6284,0.020279653316854773,3.386535092954458
Refuse workers and other elementary workers,-1.043410505531454,0.1477839876331391,0.023412562427642607,697.1471,-0.123313341078093,10.5624895084287
Sales workers,0.033129014706379,0.8772811483834649,0.8911792128814306,8845.2163,0.0011233464354185596,0.5778704612414914
Science and engineering associate professionals,0.16136436653651046,1.529439166210241,2.3202334078189617,14005.1178,0.030216576284796348,0.7490500870994938
Science and engineering professionals,1.045776739799056,2.4029549269226744,2.597393572740133,8138.8805,0.005573278295049278,1.3631228747578144
Stationary plant and machine operators,-0.9626187364989638,0.8179622974693349,1.1756325779554493,792.9497,0.02624897789358216,4.398687100595651
Teaching professionals,0.876818073832164,0.6503732748177666,0.9793119601817323,2831.0222,0.029667550920901675,4.5750045817399565
