indu_label,demand_total_tru2,mean_ind_exp,mean_occ_exp,share_high_occ_p80,coverage
Clerical support workers,176291.7494,0.3426117270855424,0.9927277730003831,0.4784206532638914,0.9277802305364156
Craft and related trades workers,227704.49300000002,-0.44939100875939,-1.005614316616992,0.0,0.8918355888568259
Elementary occupations,36799.1455,-0.28969842450153777,-1.3744357530919384,0.0,0.9241811960008691
Managers,91571.03159999999,0.29280561861226373,1.0276236543746597,0.44115226841353566,0.9387507784721737
"Plant and machine operators, and assemblers",50935.789099999995,-0.3662223881084346,-0.7745127802161257,0.0,0.7878208958580757
Professionals,489179.4165,0.665945404671664,0.9749031992548111,0.39163375416098983,0.8957522083311124
Service and sales workers,229944.986,-0.10843240206399915,-0.33427703059039704,0.0,0.9996913048584585
"Skilled agricultural, forestry and fishery workers",9622.360799999999,-0.20727004382923533,-1.1018127747378108,0.0,1.0
Technicians and associate professionals,326097.87549999997,0.2690100706510379,0.44603369723995434,0.05202901623656654,0.9200994647387698
