adve_time_year,ai_share_tru2
2010,0.00022035727978656793
2011,0.0004887693442237163
2012,0.00142554371492038
2013,0.0014322413834072455
2014,0.0020935559575995634
2015,0.002642134703333411
2016,0.002387795982398411
2017,0.008727315373161428
2018,0.005671682731788854
2019,0.009043677148134093
2020,0.006756089332532516
2021,0.01232685302464974
2022,0.013898452137521083
2023,0.00748357389983869
2024,0.009411157168290728
