pair,pearson,pearson_p,spearman,spearman_p
mean_x vs mean_y,0.8324227047701896,1.5476829530276246e-06,0.8452851496329757,7.368228358830521e-07
mean_x vs ai_demand_tru2,0.43652411098202004,0.04223913543522532,0.47530578957772635,0.02537934388505064
mean_y vs ai_demand_tru2,0.45381589564973007,0.03388431835295605,0.4594054764257832,0.031482498303383594
