pair,pearson,spearman
mean_x vs mean_y,0.8529559134746181,0.8406862745098039
mean_x vs ai_demand_tru2,0.5281879726588528,0.523605248630684
mean_y vs ai_demand_tru2,0.522947764668084,0.6099166888163037
