,mean_x,mean_y,ai_demand_tru2
mean_x,1.0,-0.03028844869992151,0.6097565500316663
mean_y,-0.03028844869992151,1.0,-0.15521129083570304
ai_demand_tru2,0.6097565500316663,-0.15521129083570304,1.0
