,mean_x,mean_y,ai_demand_tru2
mean_x,1.0,-0.07857142857142857,0.4357142857142857
mean_y,-0.07857142857142857,1.0,-0.34285714285714286
ai_demand_tru2,0.4357142857142857,-0.34285714285714286,1.0
