pair,pearson,pearson_p,spearman,spearman_p
mean_x vs mean_y,0.9235692328621521,0.00037692488150088455,0.7999999999999999,0.00962792472537983
mean_x vs ai_share,0.6508457508365437,0.05763742752321591,0.43333333333333335,0.2439524358800516
mean_y vs ai_share,0.7508816950649386,0.019715582777858773,0.39999999999999997,0.2861051019083128
