,mean_x,mean_y,ai_demand_tru2
mean_x,1.0,0.4243215287293719,0.432826489203996
mean_y,0.4243215287293719,1.0,0.4227895268443054
ai_demand_tru2,0.432826489203996,0.4227895268443054,1.0
