,mean_x,mean_y,ai_demand_tru2
mean_x,1.0,0.6285714285714286,0.5441558441558442
mean_y,0.6285714285714286,1.0,0.17142857142857143
ai_demand_tru2,0.5441558441558442,0.17142857142857143,1.0
