pair,pearson,pearson_p,spearman,spearman_p
mean_x vs mean_y,0.7380266803077465,1.4412775109311447e-09,0.7388775510204081,1.3491960981670638e-09
mean_x vs ai_share,0.48427905011784905,0.00042219916634482425,0.4944083685257516,0.0003052716517042575
mean_y vs ai_share,0.6505176789215329,2.3770326477296497e-07,0.7830363947268262,1.1233780406747665e-11
