pair,pearson,pearson_p,spearman,spearman_p
mean_x vs mean_y,0.9235692328621521,0.00037692488150088455,0.7999999999999999,0.00962792472537983
mean_x vs ai_demand_tru2,0.511559975732619,0.1592196341870463,0.5666666666666667,0.11163298761149114
mean_y vs ai_demand_tru2,0.7109520393519099,0.03177947840146002,0.39999999999999997,0.2861051019083128
