,mean_x,mean_y,ai_demand_tru2
mean_x,1.0,0.5411764705882353,0.6029411764705882
mean_y,0.5411764705882353,1.0,0.7147058823529412
ai_demand_tru2,0.6029411764705882,0.7147058823529412,1.0
