,mean_x,mean_y,ai_demand_tru2
mean_x,1.0,0.595199947697817,0.4074485144344045
mean_y,0.595199947697817,1.0,0.15553273334638232
ai_demand_tru2,0.4074485144344045,0.15553273334638232,1.0
