pair,pearson,pearson_p,spearman,spearman_p
mean_x vs mean_y,0.7380266803077465,1.4412775109311447e-09,0.7388775510204081,1.3491960981670638e-09
mean_x vs ai_demand_tru2,0.560125201966786,2.851827761023736e-05,0.5403471461012692,6.132722835686935e-05
mean_y vs ai_demand_tru2,0.6058003613042332,2.472487333637574e-06,0.7331213605914604,9.514702727576493e-10
