_g,2010-2014,2015-2019,2020-2024
Espace Mittelland,0.0020290743014384906,0.0027792664825214003,0.006921814699653728
Nordwestschweiz,0.0011460449925017671,0.004780470271920852,0.004858333814541963
Ostschweiz and Ticino,0.00024119790582083995,0.00305822517012789,0.004089533704827636
Région lémanique,0.0014637583197140028,0.01414626927747732,0.013797750704325434
Zentralschweiz,0.0013845240867343628,0.001927543333410226,0.007743345324411568
Zürich,0.0011730512108456435,0.006618497148312395,0.016539996412428443
not applicable (not assignable to region),0.0,0.010041102793238,0.019247118923465992
