adve_time_year,not applicable (not assignable to region),Région lémanique,Zürich,Zentralschweiz,Espace Mittelland,Nordwestschweiz,Ostschweiz and Ticino
2010,0.0,0.0,0.0,0.0,0.0005210215454112662,0.0,0.0010440632285734113
2011,0.0,0.000918593267378014,0.0007104335202553801,0.0,0.0009641873271504952,0.0,0.0
2012,0.0,0.002931303051094999,0.00015747074989814715,0.0,0.0035448611258565117,0.0023036530205934468,0.0
2013,0.0,0.0004847187272671652,0.0013577041338618421,0.0,0.0027097994259323898,0.0027890314817645154,0.0003696458922908875
2014,0.0,0.0026006400024096675,0.003348123314630351,0.006148709343519543,0.0020625361077959183,0.0,0.0
2015,0.010730889358576955,0.011380548362077194,0.0013020555258796691,0.0,0.0015164869771536267,0.00048336212580536134,0.000862833034974089
2016,0.0,0.010623511078490917,0.0013631751979501173,0.00578597632124053,0.0007623929325636992,0.0027718148131153676,0.0
2017,0.013335407223552196,0.037843176945421005,0.009060317202534857,0.0028151474193881293,0.0017085549258105185,0.0015248491795447055,0.00626278069572723
2018,0.00791955215675405,0.004204273651782866,0.01048861250816071,0.0,0.004620532936005868,0.004171006856487467,0.004178842603875332
2019,0.021102113504668493,0.010108502409650331,0.01087288303167987,0.0008484270101312257,0.005524548012850296,0.015743808602192832,0.003311150165362428
2020,0.021076228495610336,0.005855601625280347,0.012133739894764082,0.00772459524901873,0.0028588007595797297,0.004592097121518036,0.0011321543303836699
2021,0.020049150332985974,0.014130944318455347,0.015322998864494721,0.026909275301085833,0.007924995098599105,0.008301254542005906,0.004967137417118658
2022,0.019551765156560187,0.017050513576498776,0.02620892415906678,0.011804539484885829,0.009745504397713104,0.005212747869753082,0.005513703244250098
2023,0.0033071726545333448,0.01078254489781405,0.015199369223699875,0.0,0.009001857657539789,0.0034974411770081204,0.0018149675801901403
2024,0.030056695032230858,0.018193771547512186,0.01262903333719036,0.0005372861851096861,0.004634968673311064,0.004242832396011625,0.006738232928226899
