adve_time_year,GE,VD,Unknown,ZG,BS,SZ,ZH,VS,AI,SO,SH,BE,SG,TG,LU
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007569990107951381,0.002758377180099677,0.0,0.0
2011,0.0,0.0025632112685325505,0.0,0.0,0.0,0.0,0.0007104335202553801,0.0,0.0,0.0,0.0,0.0013023669363785764,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0013884789501210806,0.0,0.00015747074989814715,0.007943225570136271,0.0,0.009542622512114617,0.0,0.002875493642361905,0.0,0.0,0.0
2013,0.002318006057569511,0.0,0.0,0.0,0.0,0.0,0.0013577041338618421,0.0,0.0,0.011684972492276341,0.003025072361700051,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.04520876421325329,0.003348123314630351,0.009753749685914703,0.0,0.004614416964744782,0.0,0.001366047674073176,0.0,0.0,0.0
2015,0.019376877208376823,0.010901177318530731,0.010730889358576955,0.0,0.0011993546272750634,0.0,0.0013020555258796691,0.0,0.0,0.0,0.008403902445590555,0.00241862665013482,0.0,0.0,0.0
2016,0.029258254502789013,0.0019168914170409838,0.0,0.027990427672878765,0.00412301929836947,0.0,0.0013631751979501173,0.0,0.0,0.00313655011517043,0.0,0.0,0.0,0.0,0.0
2017,0.010054731945672982,0.06411472439878027,0.013335407223552196,0.0,0.0,0.0,0.009060317202534857,0.0,0.0,0.0,0.04415775156083381,0.0017116805212099113,0.005799311531077274,0.01334566620589831,0.005130513578137972
2018,0.00554901550994781,0.004960062266002559,0.00791955215675405,0.0,0.007574508207547126,0.0,0.01048861250816071,0.0,0.0,0.008598636555172788,0.0,0.00474734911435743,0.0033717449963450224,0.01228777710232483,0.0
2019,0.021806631187807107,0.0070026569616515105,0.021102113504668493,0.006426781997041444,0.040660484126328396,0.0,0.01087288303167987,0.0,0.08114977046131303,0.00898167215541994,0.011018422534347915,0.003703409113012705,0.0014900386591860516,0.0054904703423949664,0.0
2020,0.0049932009688511605,0.007744171569954541,0.021076228495610336,0.03421115006050324,0.010584014016682032,0.013614321106590263,0.012133739894764082,0.0,0.0,0.0,0.0,0.004328565589839821,0.0019612377579094407,0.0,0.0
2021,0.01436319516135792,0.0055463011427946554,0.020049150332985974,0.021549209913747248,0.009642477484419891,0.06138833537142352,0.015322998864494721,0.037098127884824784,0.0,0.017857256648630408,0.0,0.00755129553025034,0.007295489686261574,0.007951671337490529,0.027620342430318995
2022,0.005179961469070418,0.023200096568853443,0.019551765156560187,0.03721062585764911,0.025954191498230424,0.0,0.02620892415906678,0.03976357904167596,0.0,0.015970028598234473,0.0,0.00999299299153836,0.011557252693397678,0.0,0.0
2023,0.0,0.02047915814904194,0.0033071726545333448,0.0,0.009186485136216345,0.0,0.015199369223699875,0.00878668488836251,0.0,0.0,0.004450483728919041,0.013847928470838915,0.003520642797071355,0.0,0.0
2024,0.044704085533517464,0.003746192771823018,0.030056695032230858,0.0,0.015052167942424366,0.0,0.01262903333719036,0.0,0.0,0.0,0.0008362539751287157,0.007585644904559519,0.011562868876607131,0.0,0.001129564098147506
