adve_time_year,Aareland,Berner Oberland,Bodenseeregion,Ostalpen,Region Basel,Region Bern,Region Biel–Jura,Region Freiburg,Region Genf,Region Lausanne,Region Neuenburg,Region Zürich,Sopraceneri,Sottoceneri,Westalpen,Zentralschweiz,not applicable (not assignable to region)
2010,0.0,0.0,0.0,0.005348859837295537,0.0,0.001381635280116405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.003242292043223486,0.0,0.0,0.0,0.0009874566952572511,0.0,0.0,0.0,0.002911303705828991,0.0,0.0005850023522843552,0.0,0.0,0.0,0.0,0.0
2012,0.006294411800074033,0.0,0.0,0.0,0.0010843243832295139,0.00014927180214309227,0.0076242544394296416,0.0,0.0,0.009613745147845746,0.0,0.0008431554356130826,0.0,0.0,0.0,0.0,0.0
2013,0.015401231773054505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016414726842097895,0.0,0.0,0.0012659496053388929,0.0,0.0,0.0,0.0,0.0
2014,0.004410167406986775,0.0,0.0,0.0,0.0,0.0,0.0026490441720814256,0.0,0.0,0.008433348935728146,0.0,0.002717702790546181,0.0,0.0,0.0,0.007689372610097777,0.0
2015,0.0,0.0,0.0,0.0,0.0009157139454774989,0.00442056242907802,0.0,0.0,0.015651524096406685,0.013389458897727118,0.0,0.001363773116610666,0.0,0.0,0.0,0.0,0.006809975539229044
2016,0.003848785387855348,0.0,0.0,0.0,0.003015286640934636,0.0,0.0,0.0,0.025807873760381884,0.0023547937346336937,0.0,0.0015375286038497716,0.0,0.0,0.0,0.007980511349275196,0.0
2017,0.0,0.0,0.007574204136258856,0.0045975278654775435,0.0,0.002948026007638679,0.0,0.0,0.008826838577545577,0.07591615246939085,0.008713042991804426,0.008497926430588698,0.0,0.0,0.0,0.003708220646672867,0.008024636904759512
2018,0.006339998957539223,0.0,0.009135819904032918,0.0,0.004939991233379213,0.008015062763589485,0.0,0.0,0.005036309020407956,0.006208204725826566,0.0,0.009247876293804807,0.0,0.0,0.0,0.0,0.004524345716491535
2019,0.00478853021768325,0.0,0.005418649582154103,0.0,0.027739342350653992,0.006409918979994538,0.0,0.01608286055775983,0.019353096512056408,0.008007988277575573,0.0,0.009004117836335257,0.0,0.0,0.0,0.0011100459702200478,0.012695554946783998
2020,0.0,0.0,0.002010399045757904,0.0,0.008011335687132134,0.006864847432249365,0.0,0.0,0.0046510018251080636,0.008348664296809869,0.0,0.010335628831785326,0.0,0.0,0.0,0.006693449736406246,0.01467209099937108
2021,0.011440715842594188,0.0,0.008164821036149033,0.0,0.009458039464327501,0.010224368860903539,0.0029595087191610974,0.0,0.013191934488023143,0.005964017701471583,0.003106043292623545,0.015820790286379404,0.0,0.0,0.044754157770413354,0.02345481774344661,0.009574858365468899
2022,0.0,0.0,0.003937900214048913,0.0,0.00825472180602874,0.01356343778786177,0.020838431242451504,0.0,0.004689804553256673,0.025624105540997016,0.0033809313789426552,0.022803446173256327,0.0,0.012499116591680005,0.05009773309244968,0.012194038586210671,0.013908728173125037
2023,0.0,0.0,0.002696847235316366,0.0,0.004202228610393563,0.02742943639219321,0.0008741867969165821,0.0,0.0034651057858643536,0.017140935186504638,0.0,0.01281712896644095,0.0,0.0,0.011715435824057907,0.0,0.0026434139057286824
2024,0.0,0.003995188740410564,0.007910647914740557,0.004804751790874283,0.007398673036739182,0.005282711575532344,0.007444767399364802,0.0008881518579708701,0.03938569963263766,0.0037503116924283647,0.0009169137146614627,0.010584914298356066,0.0,0.028663540090568002,0.0,0.0005229571105450711,0.022285138993377186
