,mean_x,mean_y,ai_demand_tru2
mean_x,1.0,-0.09112722757701242,0.4786654109884182
mean_y,-0.09112722757701242,1.0,-0.24382696364321482
ai_demand_tru2,0.4786654109884182,-0.24382696364321482,1.0
