pair,pearson,pearson_p,spearman,spearman_p
mean_x vs mean_y,0.8529559134746177,1.3534343983423154e-05,0.8406862745098039,2.3778924285945867e-05
mean_x vs ai_share,0.6927708365082322,0.0020510172064044283,0.6732067482394508,0.003056043272538297
mean_y vs ai_share,0.8133479971037794,2.2901317443022623e-05,0.8573936762209043,2.723339450113415e-06
