loca_regi_nuts_label,demand_total_tru2,mean_exp_tru2,exposed_demand_p80,exposed_demand_p90,high_share_p80_known,high_share_p90_known,coverage
1,190454.7647,0.3860958378860404,40711.4262,22592.332,0.22984086631666964,0.12754751291404812,0.9300305717161195
2,333976.6442,0.20601116774775513,52091.48,26224.3214,0.17159364583994016,0.08638508482969505,0.9089696826769901
3,237693.1213,0.3216971435180807,42370.9597,18424.3061,0.19486814179983578,0.08473516576161902,0.9147677459524362
4,400333.4279,0.4639245497351485,92959.9225,54430.7273,0.2506134181674552,0.1467414156029833,0.9265515304224237
5,214938.3308,0.013765742968931084,25368.311,11229.6409,0.13160735263148923,0.058257852083699775,0.8968039827170743
6,145270.8223,0.20284998181537645,23313.472,11502.8186,0.17187545351571595,0.0848029913169524,0.9337157926998255
7,15822.2707,0.3586411746789996,3595.2529,1623.3724,0.25917515907819977,0.11702592605186661,0.8767328130721465
Unknown,99657.4655,0.36660786498705145,22980.5363,12148.1584,0.24678668813110913,0.13045839049579158,0.9343908821361707
