loca_regi_kant_label,_section_label,demand_tru2,section_exposure_weighted,rank
TG,Manufacturing,9050.400800000001,-0.45042581403061216,1.0
TG,Human health and social work activities,5574.0432,0.6271384727272725,2.0
TG,Wholesale and retail trade; repair of motor vehicles,5546.084999999999,0.1201532472,3.0
TG,"Electricity, gas, water supply; sewerage, waste management",4967.5844,-0.6259457333333334,4.0
TG,Construction,3030.0428,-1.1284419249999997,5.0
TI,Human health and social work activities,1781.4355,0.6271384727272726,1.0
TI,Wholesale and retail trade; repair of motor vehicles,1619.5132999999998,0.12015324719999998,2.0
TI,Construction,1569.0431999999998,-1.128441925,3.0
TI,Manufacturing,1467.3329999999999,-0.45042581403061244,4.0
TI,Administrative and support service activities,1325.1535000000001,-0.0792861738095238,5.0
UR,"Professional, scientific and technical activities",1951.5795,1.0473557260869566,1.0
UR,Accommodation and food service activities,1705.1906,-0.9862055454545456,2.0
UR,Manufacturing,1163.0012,-0.4504258140306122,3.0
UR,Wholesale and retail trade; repair of motor vehicles,350.67359999999996,0.1201532472,4.0
UR,Construction,294.192,-1.128441925,5.0
Unknown,Manufacturing,17691.8796,-0.45042581403061227,1.0
Unknown,Wholesale and retail trade; repair of motor vehicles,14802.467499999999,0.12015324720000001,2.0
Unknown,"Professional, scientific and technical activities",10701.918000000001,1.0473557260869566,3.0
Unknown,Information and communication,9116.400699999998,1.1771462250000002,4.0
Unknown,Construction,8472.2621,-1.1284419250000002,5.0
VD,Human health and social work activities,15923.416399999998,0.6271384727272729,1.0
VD,Manufacturing,12505.0889,-0.4504258140306122,2.0
VD,Wholesale and retail trade; repair of motor vehicles,10430.3707,0.12015324720000001,3.0
VD,"Professional, scientific and technical activities",7830.271199999999,1.0473557260869568,4.0
VD,Education,6275.324100000002,1.1862854428571425,5.0
VS,Wholesale and retail trade; repair of motor vehicles,7009.105799999999,0.1201532472,1.0
VS,Construction,5328.3861,-1.128441925,2.0
VS,Education,4821.5485,1.186285442857143,3.0
VS,Manufacturing,4208.241099999999,-0.4504258140306123,4.0
VS,Public administration and defence; compulsory social security,2950.2558,-0.06395094999999995,5.0
ZG,Manufacturing,5966.4338,-0.4504258140306122,1.0
ZG,Wholesale and retail trade; repair of motor vehicles,4374.1338000000005,0.12015324719999997,2.0
ZG,Human health and social work activities,2722.7942999999996,0.6271384727272729,3.0
ZG,Transportation and storage,2662.7090999999996,-0.5259826270833334,4.0
ZG,"Professional, scientific and technical activities",2484.3522,1.0473557260869566,5.0
ZH,Human health and social work activities,55916.532100000004,0.6271384727272726,1.0
ZH,Wholesale and retail trade; repair of motor vehicles,54162.6313,0.12015324719999998,2.0
ZH,"Professional, scientific and technical activities",50844.5426,1.0473557260869566,3.0
ZH,Manufacturing,49431.67360000001,-0.45042581403061216,4.0
ZH,Financial and insurance activities,41012.21519999999,2.072848153846154,5.0
