measure,p80,p90,p10,p50,coverage_tru2,share_top10_tru2,share_top20_tru2,share_top50_tru2,share_bottom10_tru2,share_top10_tru1,share_top20_tru1,share_top50_tru1,share_bottom10_tru1
occupation,1.2196835,1.277449425,-1.0474146222222225,0.4360305666666666,0.9183896392364413,0.10513804476051644,0.20166169056795388,0.5007806129573844,0.10980516968977072,0.10828846848212771,0.20644213522936805,0.5185193796874734,0.10370469600063562
industry,0.9475425749999999,1.3283719699999998,-1.083814,0.02903156181818183,0.9489883855451481,0.1028600295452219,0.20836404430460229,0.5891557069362087,0.10610959683800138,0.10675155829123262,0.21399759404788526,0.5943053260769607,0.10155361807158662
