loca_regi_kant_label,2010_2014,2015_2019,2020_2024,growth_p1_p2,growth_p2_p3,growth_p1_p3,avg_growth
AG,0.22058861414899694,0.21077249935550285,0.13897444873793335,-0.00981611479349409,-0.0717980506175695,-0.08161416541106359,-0.040807082705531794
AI,0.331248595494905,-0.2895969541767763,-0.03771784907831391,-0.6208455496716813,0.25187910509846234,-0.3689664445732189,-0.18448322228660946
AR,0.09039528831666935,0.08979634285742313,-0.23291190062776979,-0.000598945459246214,-0.3227082434851929,-0.3233071889444391,-0.16165359447221955
BE,0.24579917879925042,0.2002551140540473,0.15526634432286146,-0.04554406474520312,-0.044988769731185846,-0.09053283447638896,-0.04526641723819448
BL,0.33302896650979347,0.21330073916097644,0.44648574085466963,-0.11972822734881702,0.2331850016936932,0.11345677434487617,0.05672838717243808
BS,0.41038159698140736,0.47190587814846274,0.5795511983258701,0.061524281167055384,0.10764532017740736,0.16916960134446274,0.08458480067223137
FR,0.3602158634980072,0.1387952077745914,0.325975712709293,-0.22142065572341582,0.1871805049347016,-0.03424015078871423,-0.017120075394357115
GE,0.7245652797275638,0.4790924706641541,0.4106730597808674,-0.24547280906340968,-0.06841941088328674,-0.3138922199466964,-0.1569461099733482
GL,0.31429241308379474,-0.332527021135899,0.1329330090322386,-0.6468194342196938,0.4654600301681376,-0.18135940405155615,-0.0906797020257781
GR,0.23864035775368794,0.07820909945522334,0.006685287573242036,-0.1604312582984646,-0.0715238118819813,-0.2319550701804459,-0.11597753509022296
JU,0.5261253567146115,0.48531116860112095,-0.07340525052000091,-0.040814188113490524,-0.5587164191211218,-0.5995306072346124,-0.29976530361730613
LU,0.16069270671087404,0.1130238064748305,0.19082874219824716,-0.047668900236043546,0.07780493572341667,0.03013603548737312,0.01506801774368656
NE,0.46086919442121427,0.2726945949919234,0.11901673960686816,-0.18817459942929088,-0.15367785538505524,-0.3418524548143461,-0.17092622740717306
NW,0.25104875214709566,0.21137373692717326,-0.04252813466940378,-0.039675015219922394,-0.25390187159657707,-0.2935768868164994,-0.14678844340824973
OW,-0.3190549600688208,-0.16440236528101113,-0.529161883866077,0.15465259478780966,-0.36475951858506583,-0.2101069237972562,-0.10505346189862809
SG,-0.068653701906787,0.02684448445533868,-0.08409800948225724,0.09549818636212568,-0.11094249393759592,-0.015444307575470231,-0.007722153787735123
SH,0.010057228915091705,0.1385213202938042,0.034039060682819526,0.1284640913787125,-0.10448225961098467,0.02398183176772782,0.011990915883863917
SO,0.17380976015979438,0.10456712699890426,0.28861643937757375,-0.06924263316089012,0.1840493123786695,0.11480667921777937,0.05740333960888969
SZ,0.011741012292077635,0.4213009268475267,0.014367415182690057,0.40955991455544905,-0.4069335116648366,0.0026264028906124223,0.0013132014453062224
TG,0.059824338945426415,0.10542792521743044,0.06691178199387508,0.045603586272004025,-0.03851614322355536,0.0070874430484486675,0.0035437215242243338
TI,0.11035712138182338,0.4126175442094822,0.5468784136871856,0.30226042282765886,0.13426086947770338,0.4365212923053622,0.21826064615268112
UR,-0.35729100976176126,-0.29990486101504477,0.6074604410934844,0.05738614874671649,0.9073653021085292,0.9647514508552457,0.48237572542762286
Unknown,0.312711345621853,0.4365057107260633,0.332500719293502,0.12379436510421032,-0.10400499143256131,0.019789373671649013,0.009894686835824507
VD,0.37978899489749257,0.4598412164528102,0.3629652609448056,0.0800522215553176,-0.0968759555080046,-0.016823733952686992,-0.008411866976343496
VS,-0.024107848580729774,0.27578750865057206,0.2570501845852946,0.29989535723130184,-0.01873732406527745,0.2811580331660244,0.1405790165830122
ZG,0.6335877839980879,0.5175003366710853,0.5482182685619628,-0.1160874473270026,0.03071793189087746,-0.08536951543612514,-0.04268475771806257
ZH,0.49173726239890825,0.48113553688522837,0.4204335585412089,-0.010601725513679883,-0.06070197834401947,-0.07130370385769935,-0.035651851928849676
