occ1_code,occ1_label,demand_total_tru2,postings_total_tru1,n_ads,mean_occ_exp_tru2
1,Managers,91537.2124,90578.3302,4097,1.0276236543746597
4,Clerical support workers,176291.7494,162884.8689,7209,0.9927277730003831
2,Professionals,488186.3847,466144.2435,18531,0.9749031992548111
3,Technicians and associate professionals,325930.3789,310510.4393,12114,0.44603369723995434
5,Service and sales workers,229944.986,200616.1767,7409,-0.33427703059039704
8,"Plant and machine operators, and assemblers",50935.7891,44847.0071,1791,-0.7745127802161257
7,Craft and related trades workers,227704.493,202966.9574,6963,-1.005614316616992
6,"Skilled agricultural, forestry and fishery workers",9622.3608,8791.2909,363,-1.1018127747378108
9,Elementary occupations,36799.1455,28909.682,1250,-1.3744357530919384
0,Armed forces occupations,1194.3476,1037.7296999999999,67,
