indu_label,demand_total_tru2,mean_ind_exp,mean_occ_exp,share_high_occ_p80,coverage
1,5606.3021,-1.0345610360000002,-0.49544810272596507,0.1658130934424723,0.9111275327100193
10,18587.4235,-0.922205610810811,-0.02860327368336153,0.12786946193302387,0.8941284627210435
13,7491.6434,-0.6592031552631579,0.1507590589336483,0.09961042144646769,0.8700316141582499
16,12361.7932,-0.9917948846153847,-0.8488605322579291,0.04005717647577201,0.9689987937995922
17,9126.758100000001,-0.64109755,-0.10461599343244031,0.10871383761124086,0.7499730161578403
18,19244.5703,-0.08492830000000001,0.4147535159574972,0.16052975624381025,0.8542507805435386
19,21451.2498,-0.26184086666666667,0.6411895326107786,0.23439469929915763,0.9223593582878326
21,10010.2696,0.12862043333333334,0.5527195147251095,0.13717840342838308,0.9261588019567425
22,8063.0697,-0.713524561111111,0.27471713950730137,0.1842277505351085,0.825304970388635
23,5231.4655,-0.7346721749999999,-0.17703838069994082,0.12650245004540583,0.908566901568977
24,19332.685599999997,-0.90477262,0.028311028189261126,0.1518561088698872,0.812141200910028
25,24845.2926,-0.5680944147058823,-0.3276992660869419,0.08939118311787717,0.7303208656918775
26,37343.250100000005,0.7901558666666666,0.5805062421219792,0.21788653384585094,0.8689866820135186
27,17841.0881,-0.12439562173913044,0.38984270442762453,0.23027507070152273,0.8317358289374738
28,41626.596000000005,-0.18536159666666663,0.26553547151819357,0.15915301013435337,0.8095906376778921
29,4588.2835000000005,-0.2769384368421053,0.012247236107780314,0.1027170554946647,0.8601248157399166
31,19616.8237,-0.4608999404761904,0.2752654291889397,0.16376601387493522,0.8759854124600202
35,24200.1723,-0.6259457333333335,0.18964565731605326,0.22679349493347525,0.8821622976626493
41,19091.7561,-0.7117375500000002,-0.26916348239221966,0.08952377869195283,0.9655926675074171
42,7615.4405,-0.9336955999999998,-0.049514782398776096,0.05520305976825901,0.8779870317416308
43,96390.5839,-1.2805669647058826,-0.531289707086342,0.08495665655790813,0.9481684081799612
45,25606.293399999995,-0.08843436111111114,-0.35881684303216993,0.09923089292115693,0.9688086679503566
46,63259.095499999996,0.2887353557692309,0.6239964178361932,0.23415246016355748,0.9099749948211004
47,142299.2552,0.029031561818181825,0.25998860385744854,0.12046188146541309,0.9582280062418765
49,22429.5099,-0.11150409999999997,0.06754059794105748,0.21084183852904043,0.9079928893140906
50,9938.449,-0.38483084545454543,0.8659147839972288,0.539816162787376,0.9611710137064646
52,15597.1818,-0.9599344375,0.46851352076861547,0.2256956294215366,0.9106872178664995
53,14339.8674,-1.2160006666666667,0.13363465669024302,0.2595486497028497,0.9367589270734819
55,19395.5887,-0.8153907499999999,-0.47172909240759664,0.006198063034113891,0.998564395212196
56,54225.6532,-1.083814,-0.6089626818535961,0.01871568879675631,0.9948254970951644
58,28163.8821,1.3283719699999998,0.988071132149722,0.3792669592150249,0.8806187695268046
61,62738.4589,0.9881140437500001,0.9313749365915528,0.4881938893502555,0.8681354683387036
64,54843.90670000001,2.032305333333333,0.9955782524294123,0.5621409250185334,0.9471238725595744
65,34800.1121,2.08917275,0.9135549852221345,0.5807280653757643,0.9659357074312412
66,7319.281000000001,2.1149697,0.6872695237076418,0.45543302397518204,0.9427488574355868
68,14723.8277,0.9475425749999998,0.9208699609920655,0.17818802465425118,0.972641292182467
69,16349.144600000001,1.6582045,0.8316073154118898,0.6016911539686972,0.9232982439949793
70,18428.058100000002,1.603005666666666,0.9857809564379489,0.5483375169451105,0.9488600917749439
71,115469.9301,0.6304446666666667,0.7724583345157022,0.25746243634663285,0.913730707281341
72,14178.3945,0.8867297999999997,0.8214143040642876,0.35805758679867733,0.8739644605036204
77,31162.4703,-0.0792861738095238,-0.042477845974326425,0.10371381083472996,0.9361964670689154
84,43741.532600000006,-0.06395094999999994,0.6425465443517289,0.2964607383630284,0.8820990465249495
85,66308.87909999999,1.1862854428571432,0.7795623271785684,0.18463868624637217,0.9260331381472562
86,142064.88770000002,0.7141869727272726,0.21958364667094812,0.08615353497722564,0.9300871519993464
87,49867.4249,0.2122173,-0.06484927872337182,0.02656901483619986,0.9844317226815535
88,17479.4833,0.7274457857142858,-0.2210392177481358,0.051379668275016464,0.9217213760546342
90,8916.6844,-0.14435774545454544,0.3598264308762137,0.14037270944644373,0.8956256991668337
94,20243.511599999998,1.1480757222222224,0.4328892662669432,0.19828185409704122,0.9281514477952533
95,11025.050599999999,-0.3492598523809524,0.15068231118943742,0.19201585531924653,0.9772130025416847
97,21911.0106,,0.47717713641962606,0.23698588136234766,0.9044309895957058
99,61653.504799999995,,-0.08695538910453375,0.16263575673777816,0.9191118880235986
