loca_regi_kant_label,2010_2014,2015_2019,2020_2024,growth_p1_p2,growth_p2_p3,growth_p1_p3,avg_growth
AG,0.09802135035477808,0.1615980421541531,0.3028934389115309,0.06357669179937503,0.14129539675737782,0.20487208855675285,0.10243604427837642
AI,0.6851036448834408,0.21215449912217071,0.323799553982794,-0.47294914576127006,0.11164505486062326,-0.3613040909006468,-0.1806520454503234
AR,0.13058125503313978,0.2770016222015268,0.09592670258306121,0.14642036716838702,-0.18107491961846559,-0.03465455245007856,-0.01732727622503928
BE,0.026545604228240812,0.1591017358420167,0.2366294686293188,0.13255613161377588,0.0775277327873021,0.21008386440107799,0.10504193220053899
BL,0.07810521176448489,0.06954799385961544,0.5031627849649769,-0.008557217904869449,0.4336147911053615,0.42505757320049203,0.21252878660024602
BS,0.22358163316326235,0.32388431793527217,0.5491438941255505,0.10030268477200982,0.22525957619027837,0.3255622609622882,0.1627811304811441
FR,0.10339346561823261,0.06692013227123117,0.20597430877869452,-0.03647333334700144,0.13905417650746335,0.10258084316046191,0.051290421580230956
GE,0.6057322499763605,0.3126117042971109,0.29345133745781393,-0.29312054567924967,-0.01916036683929695,-0.3122809125185466,-0.1561404562592733
GL,0.2846208838371594,-0.1274220713513706,0.22658048493027313,-0.41204295518852996,0.35400255628164373,-0.058040398906886254,-0.029020199453443113
GR,-0.08062845675913367,-0.18070056165981,-0.048721366002641604,-0.10007210490067632,0.1319791956571684,0.03190709075649207,0.015953545378246038
JU,0.3137748984307162,-0.07806274179168185,0.15752740914178737,-0.3918376402223981,0.23559015093346922,-0.15624748928892884,-0.07812374464446444
LU,-0.08207753068026671,-0.015632031190763507,0.04317412470791207,0.06644549948950321,0.05880615589867558,0.12525165538817878,0.06262582769408939
NE,0.2287172066766403,0.20854752490155223,0.2801077129515931,-0.020169681775088072,0.07156018805004086,0.051390506274952785,0.025695253137476393
NW,0.26094515111177957,-0.12833036181228202,-0.45420465738380805,-0.3892755129240616,-0.32587429557152603,-0.7151498084955876,-0.3575749042477938
OW,-0.9925245981591865,-0.8204884449954526,-0.8903896448816887,0.17203615316373388,-0.06990119988623611,0.10213495327749778,0.05106747663874889
SG,-0.1925983495794589,-0.1394498474604665,-0.033932843326270314,0.05314850211899241,0.10551700413419618,0.1586655062531886,0.0793327531265943
SH,0.01708535987609757,0.04276163488200213,-0.035530420327906174,0.02567627500590456,-0.07829205520990831,-0.052615780204003745,-0.026307890102001876
SO,0.08878636805176553,0.12099256230546034,0.4021268102565085,0.03220619425369481,0.28113424795104813,0.31334044220474294,0.15667022110237147
SZ,-0.19758058040353813,0.411971962636555,0.4378626386238332,0.6095525430400931,0.025890675987278178,0.6354432190273713,0.31772160951368567
TG,-0.138416845793883,-0.16126318237222598,0.1798435635017209,-0.02284633657834298,0.34110674587394685,0.3182604092956039,0.15913020464780192
TI,0.07505181380682728,0.45483781728835715,0.2364718469932648,0.37978600348152985,-0.21836597029509236,0.1614200331864375,0.08071001659321875
UR,-0.5212398395109131,-0.5850114953096271,0.06795838319741976,-0.06377165579871402,0.6529698785070469,0.5891982227083329,0.29459911135416644
Unknown,0.08111868244234641,0.27495902745088796,0.2978225252358709,0.19384034500854155,0.022863497784982922,0.21670384279352448,0.10835192139676224
VD,0.3860825185152432,0.42304105374965045,0.2823627325415695,0.03695853523440723,-0.14067832120808094,-0.1037197859736737,-0.05185989298683685
VS,-0.270463587073189,0.22052380665661897,0.14363224890896178,0.490987393729808,-0.07689155774765719,0.41409583598215083,0.20704791799107541
ZG,0.2475501043161517,0.3023602905098773,0.10575358905454271,0.054810186193725574,-0.19660670145533457,-0.141796515261609,-0.0708982576308045
ZH,0.424995715125398,0.47278273992806863,0.35772609459876686,0.04778702480267061,-0.11505664532930177,-0.06726962052663116,-0.03363481026331558
