occu_isco1_label,0
Craft and related trades workers,-0.13322725564879587
Service and sales workers,-0.10319767358485693
"Plant and machine operators, and assemblers",-0.0475198270928243
Armed forces occupations,0.002071051962539694
Elementary occupations,0.017287976664080166
"Skilled agricultural, forestry and fishery workers",0.02275605935055681
Clerical support workers,0.03460947814808076
Technicians and associate professionals,0.03621870320601957
Managers,0.0852242552762893
Professionals,0.08655451398729236
