adve_time_year,industry_section,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2014,F,273,273,273,0,0,1.0,1.0,0.0,0.0,industry
2014,G,484,484,484,0,0,1.0,1.0,0.0,0.0,industry
2014,H,156,156,156,0,0,1.0,1.0,0.0,0.0,industry
2014,I,151,151,151,0,0,1.0,1.0,0.0,0.0,industry
2014,J,121,121,121,0,0,1.0,1.0,0.0,0.0,industry
2014,K,239,239,239,0,0,1.0,1.0,0.0,0.0,industry
2014,L,29,29,29,0,0,1.0,1.0,0.0,0.0,industry
2014,M,256,256,256,0,0,1.0,1.0,0.0,0.0,industry
2014,N,69,69,69,0,0,1.0,1.0,0.0,0.0,industry
2014,O,233,233,233,0,0,1.0,1.0,0.0,0.0,industry
2014,P,176,176,176,0,0,1.0,1.0,0.0,0.0,industry
2014,Q,474,474,474,0,0,1.0,1.0,0.0,0.0,industry
2014,R,23,23,23,0,0,1.0,1.0,0.0,0.0,industry
2014,S,69,69,69,0,0,1.0,1.0,0.0,0.0,industry
2014,T,19,19,0,0,19,1.0,0.0,0.0,1.0,industry
2014,U,103,103,0,0,103,1.0,0.0,0.0,1.0,industry
2015,AB,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2015,C,647,647,647,0,0,1.0,1.0,0.0,0.0,industry
2015,DE,61,61,61,0,0,1.0,1.0,0.0,0.0,industry
2015,F,264,264,264,0,0,1.0,1.0,0.0,0.0,industry
2015,G,420,420,420,0,0,1.0,1.0,0.0,0.0,industry
2015,H,158,158,158,0,0,1.0,1.0,0.0,0.0,industry
2015,I,168,168,168,0,0,1.0,1.0,0.0,0.0,industry
2015,J,132,132,132,0,0,1.0,1.0,0.0,0.0,industry
2015,K,223,223,223,0,0,1.0,1.0,0.0,0.0,industry
2015,L,39,39,39,0,0,1.0,1.0,0.0,0.0,industry
2015,M,270,270,270,0,0,1.0,1.0,0.0,0.0,industry
2015,N,79,79,79,0,0,1.0,1.0,0.0,0.0,industry
2015,O,247,247,247,0,0,1.0,1.0,0.0,0.0,industry
2015,P,211,211,211,0,0,1.0,1.0,0.0,0.0,industry
