adve_time_year,loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2012,10,92,92,81,0,11,1.0,0.8804347826086957,0.0,0.11956521739130435,occupation
2012,11,123,123,105,0,18,1.0,0.8536585365853658,0.0,0.14634146341463414,occupation
2012,12,228,228,210,0,18,1.0,0.9210526315789473,0.0,0.07894736842105263,occupation
2012,13,82,82,79,0,3,1.0,0.9634146341463414,0.0,0.036585365853658534,occupation
2012,14,48,48,45,0,3,1.0,0.9375,0.0,0.0625,occupation
2012,15,21,21,19,0,2,1.0,0.9047619047619048,0.0,0.09523809523809523,occupation
2012,16,5,5,5,0,0,1.0,1.0,0.0,0.0,occupation
2012,17,245,245,214,0,31,1.0,0.8734693877551021,0.0,0.12653061224489795,occupation
2012,18,73,73,67,0,6,1.0,0.9178082191780822,0.0,0.0821917808219178,occupation
2012,19,281,281,251,0,30,1.0,0.8932384341637011,0.0,0.10676156583629894,occupation
2012,20,75,75,68,0,7,1.0,0.9066666666666666,0.0,0.09333333333333334,occupation
2012,21,64,64,55,0,9,1.0,0.859375,0.0,0.140625,occupation
2012,22,218,218,207,0,11,1.0,0.9495412844036697,0.0,0.05045871559633028,occupation
2012,23,174,174,163,0,11,1.0,0.9367816091954023,0.0,0.06321839080459771,occupation
2012,24,83,83,76,0,7,1.0,0.9156626506024096,0.0,0.08433734939759036,occupation
2012,25,177,177,167,0,10,1.0,0.943502824858757,0.0,0.05649717514124294,occupation
2012,26,19,19,17,0,2,1.0,0.8947368421052632,0.0,0.10526315789473684,occupation
2012,,253,253,238,0,15,1.0,0.9407114624505929,0.0,0.05928853754940711,occupation
2013,1,1034,1034,951,0,83,1.0,0.9197292069632496,0.0,0.08027079303675048,occupation
2013,2,605,605,546,0,59,1.0,0.9024793388429752,0.0,0.09752066115702479,occupation
2013,3,159,159,137,0,22,1.0,0.8616352201257862,0.0,0.13836477987421383,occupation
2013,4,6,6,6,0,0,1.0,1.0,0.0,0.0,occupation
2013,5,60,60,57,0,3,1.0,0.95,0.0,0.05,occupation
2013,6,12,12,11,0,1,1.0,0.9166666666666666,0.0,0.08333333333333333,occupation
2013,7,8,8,8,0,0,1.0,1.0,0.0,0.0,occupation
2013,8,32,32,31,0,1,1.0,0.96875,0.0,0.03125,occupation
2013,9,71,71,66,0,5,1.0,0.9295774647887324,0.0,0.07042253521126761,occupation
2013,10,79,79,70,0,9,1.0,0.8860759493670886,0.0,0.11392405063291139,occupation
2013,11,150,150,140,0,10,1.0,0.9333333333333333,0.0,0.06666666666666667,occupation
2013,12,197,197,178,0,19,1.0,0.9035532994923858,0.0,0.09644670050761421,occupation
2013,13,130,130,123,0,7,1.0,0.9461538461538461,0.0,0.05384615384615385,occupation
2013,14,66,66,54,0,12,1.0,0.8181818181818182,0.0,0.18181818181818182,occupation
2013,15,30,30,27,0,3,1.0,0.9,0.0,0.1,occupation
2013,16,11,11,11,0,0,1.0,1.0,0.0,0.0,occupation
2013,17,241,241,208,0,33,1.0,0.8630705394190872,0.0,0.13692946058091288,occupation
2013,18,125,125,117,0,8,1.0,0.936,0.0,0.064,occupation
2013,19,276,276,253,0,23,1.0,0.9166666666666666,0.0,0.08333333333333333,occupation
2013,20,93,93,79,0,14,1.0,0.8494623655913979,0.0,0.15053763440860216,occupation
2013,21,85,85,82,0,3,1.0,0.9647058823529412,0.0,0.03529411764705882,occupation
2013,22,226,226,212,0,14,1.0,0.9380530973451328,0.0,0.061946902654867256,occupation
2013,23,181,181,170,0,11,1.0,0.9392265193370166,0.0,0.06077348066298342,occupation
2013,24,88,88,74,0,14,1.0,0.8409090909090909,0.0,0.1590909090909091,occupation
2013,25,149,149,140,0,9,1.0,0.9395973154362416,0.0,0.06040268456375839,occupation
2013,26,18,18,16,0,2,1.0,0.8888888888888888,0.0,0.1111111111111111,occupation
2013,,188,188,175,0,13,1.0,0.9308510638297872,0.0,0.06914893617021277,occupation
2014,1,875,875,819,0,56,1.0,0.936,0.0,0.064,occupation
2014,2,513,513,461,0,52,1.0,0.898635477582846,0.0,0.10136452241715399,occupation
2014,3,145,145,134,0,11,1.0,0.9241379310344827,0.0,0.07586206896551724,occupation
2014,4,3,3,3,0,0,1.0,1.0,0.0,0.0,occupation
2014,5,37,37,36,0,1,1.0,0.972972972972973,0.0,0.02702702702702703,occupation
2014,6,16,16,14,0,2,1.0,0.875,0.0,0.125,occupation
2014,7,12,12,7,0,5,1.0,0.5833333333333334,0.0,0.4166666666666667,occupation
2014,8,21,21,19,0,2,1.0,0.9047619047619048,0.0,0.09523809523809523,occupation
2014,9,55,55,50,0,5,1.0,0.9090909090909091,0.0,0.09090909090909091,occupation
2014,10,66,66,64,0,2,1.0,0.9696969696969697,0.0,0.030303030303030304,occupation
2014,11,133,133,121,0,12,1.0,0.9097744360902256,0.0,0.09022556390977443,occupation
2014,12,150,150,134,0,16,1.0,0.8933333333333333,0.0,0.10666666666666667,occupation
2014,13,97,97,86,0,11,1.0,0.8865979381443299,0.0,0.1134020618556701,occupation
2014,14,43,43,40,0,3,1.0,0.9302325581395349,0.0,0.06976744186046512,occupation
2014,15,27,27,26,0,1,1.0,0.9629629629629629,0.0,0.037037037037037035,occupation
2014,16,9,9,9,0,0,1.0,1.0,0.0,0.0,occupation
2014,17,313,313,274,0,39,1.0,0.8753993610223643,0.0,0.12460063897763578,occupation
2014,18,61,61,57,0,4,1.0,0.9344262295081968,0.0,0.06557377049180328,occupation
2014,19,230,230,201,0,29,1.0,0.8739130434782608,0.0,0.12608695652173912,occupation
2014,20,80,80,70,0,10,1.0,0.875,0.0,0.125,occupation
2014,21,94,94,87,0,7,1.0,0.925531914893617,0.0,0.07446808510638298,occupation
2014,22,187,187,165,0,22,1.0,0.8823529411764706,0.0,0.11764705882352941,occupation
2014,23,103,103,92,0,11,1.0,0.8932038834951457,0.0,0.10679611650485436,occupation
2014,24,70,70,60,0,10,1.0,0.8571428571428571,0.0,0.14285714285714285,occupation
2014,25,132,132,117,0,15,1.0,0.8863636363636364,0.0,0.11363636363636363,occupation
2014,26,26,26,23,0,3,1.0,0.8846153846153846,0.0,0.11538461538461539,occupation
2014,,194,194,178,0,16,1.0,0.9175257731958762,0.0,0.08247422680412371,occupation
2015,1,871,871,798,0,73,1.0,0.9161882893226176,0.0,0.08381171067738231,occupation
2015,2,493,493,447,0,46,1.0,0.9066937119675457,0.0,0.09330628803245436,occupation
2015,3,160,160,139,0,21,1.0,0.86875,0.0,0.13125,occupation
2015,4,5,5,5,0,0,1.0,1.0,0.0,0.0,occupation
2015,5,46,46,44,0,2,1.0,0.9565217391304348,0.0,0.043478260869565216,occupation
