firm_size_band,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
1,55555,55555,53100,0,2455,1.0,0.955809558095581,0.0,0.044190441904419044,industry
10-19,47,47,45,0,2,1.0,0.9574468085106383,0.0,0.0425531914893617,industry
2-4,4078,4078,3873,0,205,1.0,0.9497302599313389,0.0,0.05026974006866111,industry
20-49,24,24,24,0,0,1.0,1.0,0.0,0.0,industry
5-9,90,90,88,0,2,1.0,0.9777777777777777,0.0,0.022222222222222223,industry
