occu_isco1_code,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
1,4104,4104,3836,0,268,1.0,0.9346978557504874,0.0,0.06530214424951267,occupation
2,18578,18578,16668,0,1910,1.0,0.8971902249973086,0.0,0.10280977500269135,occupation
3,12127,12127,11117,0,1010,1.0,0.9167147686979468,0.0,0.08328523130205327,occupation
4,7209,7209,6687,0,522,1.0,0.9275905118601748,0.0,0.07240948813982521,occupation
5,7409,7409,7405,0,4,1.0,0.9994601160750438,0.0,0.0005398839249561345,occupation
6,363,363,363,0,0,1.0,1.0,0.0,0.0,occupation
7,6963,6963,6064,0,899,1.0,0.8708889846330604,0.0,0.12911101536693953,occupation
8,1791,1791,1409,0,382,1.0,0.7867113344500279,0.0,0.21328866554997208,occupation
9,1250,1250,1194,0,56,1.0,0.9552,0.0,0.0448,occupation
