adve_time_year,_cat,count,share,level
2010,1221,75,0.01835985312117503,isco4
2010,2221,101,0.024724602203182375,isco4
2010,2431,58,0.01419828641370869,isco4
2010,2512,125,0.030599755201958383,isco4
2010,3112,54,0.013219094247246021,isco4
2010,3313,80,0.019583843329253364,isco4
2010,4110,150,0.03671970624235006,isco4
2010,4419,88,0.0215422276621787,isco4
2010,5131,80,0.019583843329253364,isco4
2010,5223,158,0.038678090575275395,isco4
2010,Other,3116,0.7627906976744186,isco4
2011,1221,83,0.019766611097880447,isco4
2011,2221,94,0.02238628244820195,isco4
2011,2431,88,0.02095737080257204,isco4
2011,2512,139,0.033103119790426294,isco4
2011,3112,91,0.021671826625386997,isco4
2011,3313,69,0.016432483924743987,isco4
2011,4110,144,0.034293879495117884,isco4
2011,4419,114,0.027149321266968326,isco4
2011,5131,94,0.02238628244820195,isco4
2011,5223,183,0.043581805191712314,isco4
2011,Other,3100,0.7382710169087878,isco4
2012,1221,79,0.018583862620559867,isco4
2012,2221,135,0.03175723359209598,isco4
2012,2431,79,0.018583862620559867,isco4
2012,2512,103,0.024229593036932486,isco4
2012,3112,86,0.020230533992001882,isco4
2012,3313,69,0.016231474947071278,isco4
2012,4110,132,0.031051517290049402,isco4
2012,4419,103,0.024229593036932486,isco4
2012,5131,85,0.01999529522465302,isco4
2012,5223,166,0.03904963537991061,isco4
2012,Other,3214,0.7560573982592331,isco4
2013,1221,63,0.014583333333333334,isco4
2013,2221,181,0.04189814814814815,isco4
2013,2431,66,0.015277777777777777,isco4
2013,2512,82,0.01898148148148148,isco4
2013,3112,79,0.018287037037037036,isco4
2013,3313,64,0.014814814814814815,isco4
2013,4110,159,0.03680555555555556,isco4
2013,4419,89,0.02060185185185185,isco4
2013,5131,86,0.01990740740740741,isco4
2013,5223,184,0.04259259259259259,isco4
2013,Other,3267,0.75625,isco4
2014,1221,51,0.0138136511375948,isco4
2014,2221,129,0.03494041170097508,isco4
2014,2431,65,0.017605633802816902,isco4
2014,2512,78,0.02112676056338028,isco4
2014,3112,63,0.01706392199349946,isco4
2014,3313,56,0.015167930660888408,isco4
2014,4110,146,0.03954496208017335,isco4
2014,4419,85,0.023022751895991334,isco4
2014,5131,76,0.020585048754062838,isco4
2014,5223,168,0.04550379198266522,isco4
2014,Other,2775,0.7516251354279523,isco4
2015,1221,65,0.017553335133675397,isco4
2015,2221,148,0.039967593842830135,isco4
2015,2431,51,0.013772616797191467,isco4
2015,2512,85,0.022954361328652445,isco4
2015,3112,57,0.01539292465568458,isco4
2015,3313,36,0.009721847150958682,isco4
2015,4110,145,0.03915743991358358,isco4
2015,4419,68,0.018363489062921956,isco4
2015,5131,82,0.022144207399405886,isco4
2015,5223,143,0.038617337294085875,isco4
2015,Other,2823,0.76235484742101,isco4
2016,1221,53,0.01343813387423935,isco4
2016,2221,137,0.03473630831643002,isco4
2016,2431,73,0.018509127789046655,isco4
2016,2512,81,0.020537525354969575,isco4
2016,3112,62,0.015720081135902637,isco4
2016,3313,49,0.01242393509127789,isco4
2016,4110,154,0.03904665314401623,isco4
2016,4419,102,0.02586206896551724,isco4
2016,5131,73,0.018509127789046655,isco4
2016,5223,144,0.036511156186612576,isco4
2016,Other,3016,0.7647058823529411,isco4
2017,1221,77,0.01977401129943503,isco4
2017,2221,145,0.037236774524910116,isco4
2017,2431,45,0.011556240369799691,isco4
2017,2512,87,0.02234206471494607,isco4
2017,3112,51,0.013097072419106317,isco4
2017,3313,45,0.011556240369799691,isco4
2017,4110,162,0.04160246533127889,isco4
2017,4419,70,0.017976373908577297,isco4
2017,5131,80,0.02054442732408834,isco4
