level,category,max_abs_yoy_change,year_of_max_change
isco2,Other,0.038810755145574916,2012
isco2,33,0.019120027713174503,2015
isco2,25,0.018116298259451616,2012
isco2,52,0.01707699714817327,2023
isco2,22,0.016557051935492305,2013
isco2,21,0.016507160728797828,2022
isco2,41,0.015413529184403175,2021
isco2,51,0.014302315631831514,2021
isco2,31,0.013250109383740313,2011
isco2,72,0.013097853774100894,2017
isco2,24,0.012630733713176037,2017
