adve_time_year,_cat,count,share,level,label
2010,1,327,0.08004895960832313,isco1,Managers
2010,2,1241,0.30379436964504286,isco1,Professionals
2010,3,881,0.21566707466340268,isco1,Technicians and associate professionals
2010,4,531,0.1299877600979192,isco1,Clerical support workers
2010,5,473,0.11578947368421053,isco1,Service and sales workers
2010,6,14,0.003427172582619339,isco1,"Skilled agricultural, forestry and fishery workers"
2010,7,428,0.1047735618115055,isco1,Craft and related trades workers
2010,8,105,0.025703794369645042,isco1,"Plant and machine operators, and assemblers"
2010,9,85,0.0208078335373317,isco1,Elementary occupations
2011,1,274,0.06525363181709931,isco1,Managers
2011,2,1235,0.29411764705882354,isco1,Professionals
2011,3,915,0.21790902595856157,isco1,Technicians and associate professionals
2011,4,547,0.1302691116932603,isco1,Clerical support workers
2011,5,508,0.12098118599666587,isco1,Service and sales workers
2011,6,11,0.002619671350321505,isco1,"Skilled agricultural, forestry and fishery workers"
2011,7,517,0.12312455346511074,isco1,Craft and related trades workers
2011,8,108,0.025720409621338414,isco1,"Plant and machine operators, and assemblers"
2011,9,84,0.020004763038818766,isco1,Elementary occupations
2012,1,361,0.08492119501293813,isco1,Managers
2012,2,1213,0.28534462479416606,isco1,Professionals
2012,3,956,0.22488826158550929,isco1,Technicians and associate professionals
2012,4,513,0.12067748764996472,isco1,Clerical support workers
2012,5,497,0.11691366737238297,isco1,Service and sales workers
2012,6,23,0.005410491649023759,isco1,"Skilled agricultural, forestry and fishery workers"
2012,7,485,0.11409080216419666,isco1,Craft and related trades workers
2012,8,116,0.027287697012467655,isco1,"Plant and machine operators, and assemblers"
2012,9,87,0.020465772759350742,isco1,Elementary occupations
2013,1,290,0.06712962962962964,isco1,Managers
2013,2,1245,0.2881944444444444,isco1,Professionals
2013,3,892,0.2064814814814815,isco1,Technicians and associate professionals
2013,4,521,0.12060185185185185,isco1,Clerical support workers
2013,5,605,0.1400462962962963,isco1,Service and sales workers
2013,6,29,0.006712962962962963,isco1,"Skilled agricultural, forestry and fishery workers"
2013,7,487,0.11273148148148149,isco1,Craft and related trades workers
2013,8,142,0.03287037037037037,isco1,"Plant and machine operators, and assemblers"
2013,9,109,0.025231481481481483,isco1,Elementary occupations
2014,1,259,0.07015167930660889,isco1,Managers
2014,2,1048,0.2838569880823402,isco1,Professionals
2014,3,721,0.19528710725893825,isco1,Technicians and associate professionals
2014,4,435,0.11782231852654387,isco1,Clerical support workers
2014,5,506,0.13705308775731312,isco1,Service and sales workers
2014,6,28,0.007583965330444204,isco1,"Skilled agricultural, forestry and fishery workers"
2014,7,471,0.12757313109425786,isco1,Craft and related trades workers
2014,8,131,0.03548212351029253,isco1,"Plant and machine operators, and assemblers"
2014,9,93,0.025189599133261104,isco1,Elementary occupations
2015,1,241,0.0650823656494734,isco1,Managers
2015,2,1112,0.30029705644072374,isco1,Professionals
2015,3,668,0.18039427491223334,isco1,Technicians and associate professionals
2015,4,456,0.12314339724547664,isco1,Clerical support workers
2015,5,541,0.14609775857412907,isco1,Service and sales workers
2015,6,25,0.006751282743721307,isco1,"Skilled agricultural, forestry and fishery workers"
2015,7,450,0.12152308938698353,isco1,Craft and related trades workers
2015,8,120,0.032406157169862275,isco1,"Plant and machine operators, and assemblers"
2015,9,90,0.024304617877396704,isco1,Elementary occupations
2016,1,288,0.07302231237322515,isco1,Managers
2016,2,1251,0.3171906693711968,isco1,Professionals
2016,3,748,0.1896551724137931,isco1,Technicians and associate professionals
