adve_time_year,loca_regi_nuts_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2017,5,533,533,473,0,60,1.0,0.8874296435272045,0.0,0.1125703564727955,occupation
2017,6,311,311,278,0,33,1.0,0.8938906752411575,0.0,0.10610932475884244,occupation
2017,7,75,75,65,0,10,1.0,0.8666666666666667,0.0,0.13333333333333333,occupation
2017,,338,338,318,0,20,1.0,0.9408284023668639,0.0,0.05917159763313609,occupation
2018,1,615,615,588,0,27,1.0,0.9560975609756097,0.0,0.04390243902439024,occupation
2018,2,849,849,794,0,55,1.0,0.9352179034157833,0.0,0.06478209658421673,occupation
2018,3,505,505,473,0,32,1.0,0.9366336633663367,0.0,0.06336633663366337,occupation
2018,4,880,880,839,0,41,1.0,0.9534090909090909,0.0,0.04659090909090909,occupation
2018,5,477,477,432,0,45,1.0,0.9056603773584906,0.0,0.09433962264150944,occupation
2018,6,318,318,292,0,26,1.0,0.9182389937106918,0.0,0.08176100628930817,occupation
2018,7,109,109,101,0,8,1.0,0.926605504587156,0.0,0.07339449541284404,occupation
2018,,287,287,271,0,16,1.0,0.9442508710801394,0.0,0.05574912891986063,occupation
2019,1,585,585,552,0,33,1.0,0.9435897435897436,0.0,0.05641025641025641,occupation
2019,2,865,865,787,0,78,1.0,0.9098265895953758,0.0,0.09017341040462427,occupation
2019,3,577,577,534,0,43,1.0,0.925476603119584,0.0,0.07452339688041594,occupation
2019,4,970,970,910,0,60,1.0,0.9381443298969072,0.0,0.061855670103092786,occupation
2019,5,539,539,497,0,42,1.0,0.922077922077922,0.0,0.07792207792207792,occupation
2019,6,305,305,272,0,33,1.0,0.8918032786885246,0.0,0.10819672131147541,occupation
2019,7,42,42,40,0,2,1.0,0.9523809523809523,0.0,0.047619047619047616,occupation
2019,,203,203,183,0,20,1.0,0.9014778325123153,0.0,0.09852216748768473,occupation
2020,1,561,561,522,0,39,1.0,0.93048128342246,0.0,0.06951871657754011,occupation
2020,2,782,782,722,0,60,1.0,0.9232736572890026,0.0,0.07672634271099744,occupation
2020,3,568,568,528,0,40,1.0,0.9295774647887324,0.0,0.07042253521126761,occupation
2020,4,970,970,910,0,60,1.0,0.9381443298969072,0.0,0.061855670103092786,occupation
2020,5,491,491,442,0,49,1.0,0.90020366598778,0.0,0.09979633401221996,occupation
2020,6,316,316,290,0,26,1.0,0.9177215189873418,0.0,0.08227848101265822,occupation
2020,7,42,42,40,0,2,1.0,0.9523809523809523,0.0,0.047619047619047616,occupation
2020,,188,188,173,0,15,1.0,0.9202127659574468,0.0,0.0797872340425532,occupation
2021,1,598,598,551,0,47,1.0,0.9214046822742475,0.0,0.07859531772575251,occupation
2021,2,811,811,722,0,89,1.0,0.8902589395807645,0.0,0.10974106041923551,occupation
2021,3,584,584,532,0,52,1.0,0.910958904109589,0.0,0.08904109589041095,occupation
2021,4,1007,1007,921,0,86,1.0,0.9145978152929494,0.0,0.08540218470705065,occupation
2021,5,477,477,423,0,54,1.0,0.8867924528301887,0.0,0.11320754716981132,occupation
2021,6,358,358,323,0,35,1.0,0.9022346368715084,0.0,0.09776536312849161,occupation
2021,7,51,51,47,0,4,1.0,0.9215686274509803,0.0,0.0784313725490196,occupation
2021,,117,117,111,0,6,1.0,0.9487179487179487,0.0,0.05128205128205128,occupation
2022,1,577,577,520,0,57,1.0,0.901213171577123,0.0,0.09878682842287695,occupation
2022,2,760,760,672,0,88,1.0,0.8842105263157894,0.0,0.11578947368421053,occupation
2022,3,572,572,497,0,75,1.0,0.8688811188811189,0.0,0.13111888111888112,occupation
2022,4,954,954,856,0,98,1.0,0.8972746331236897,0.0,0.10272536687631027,occupation
2022,5,529,529,475,0,54,1.0,0.8979206049149339,0.0,0.10207939508506617,occupation
2022,6,423,423,390,0,33,1.0,0.9219858156028369,0.0,0.07801418439716312,occupation
2022,7,48,48,41,0,7,1.0,0.8541666666666666,0.0,0.14583333333333334,occupation
2022,,103,103,98,0,5,1.0,0.9514563106796117,0.0,0.04854368932038835,occupation
2023,1,498,498,436,0,62,1.0,0.8755020080321285,0.0,0.12449799196787148,occupation
2023,2,784,784,696,0,88,1.0,0.8877551020408163,0.0,0.11224489795918367,occupation
2023,3,545,545,477,0,68,1.0,0.8752293577981651,0.0,0.12477064220183487,occupation
2023,4,822,822,730,0,92,1.0,0.8880778588807786,0.0,0.11192214111922141,occupation
2023,5,510,510,445,0,65,1.0,0.8725490196078431,0.0,0.12745098039215685,occupation
2023,6,402,402,369,0,33,1.0,0.917910447761194,0.0,0.08208955223880597,occupation
2023,7,24,24,21,0,3,1.0,0.875,0.0,0.125,occupation
2023,,127,127,113,0,14,1.0,0.889763779527559,0.0,0.11023622047244094,occupation
2024,1,470,470,423,0,47,1.0,0.9,0.0,0.1,occupation
2024,2,802,802,718,0,84,1.0,0.8952618453865336,0.0,0.10473815461346633,occupation
2024,3,553,553,494,0,59,1.0,0.8933092224231465,0.0,0.10669077757685352,occupation
2024,4,890,890,820,0,70,1.0,0.9213483146067416,0.0,0.07865168539325842,occupation
2024,5,548,548,490,0,58,1.0,0.8941605839416058,0.0,0.10583941605839416,occupation
2024,6,379,379,341,0,38,1.0,0.899736147757256,0.0,0.10026385224274406,occupation
2024,7,37,37,32,0,5,1.0,0.8648648648648649,0.0,0.13513513513513514,occupation
2024,,302,302,270,0,32,1.0,0.8940397350993378,0.0,0.10596026490066225,occupation
