adve_time_year,occu_isco1_code,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2016,9,82,82,78,0,4,1.0,0.9512195121951219,0.0,0.04878048780487805,occupation
2017,1,288,288,278,0,10,1.0,0.9652777777777778,0.0,0.034722222222222224,occupation
2017,2,1153,1153,1049,0,104,1.0,0.9098005203816132,0.0,0.09019947961838681,occupation
2017,3,725,725,693,0,32,1.0,0.9558620689655173,0.0,0.044137931034482755,occupation
2017,4,443,443,403,0,40,1.0,0.909706546275395,0.0,0.09029345372460497,occupation
2017,5,519,519,519,0,0,1.0,1.0,0.0,0.0,occupation
2017,6,29,29,29,0,0,1.0,1.0,0.0,0.0,occupation
2017,7,517,517,437,0,80,1.0,0.8452611218568665,0.0,0.15473887814313347,occupation
2017,8,134,134,103,0,31,1.0,0.7686567164179104,0.0,0.23134328358208955,occupation
2017,9,86,86,81,0,5,1.0,0.9418604651162791,0.0,0.05813953488372093,occupation
2018,1,288,288,279,0,9,1.0,0.96875,0.0,0.03125,occupation
2018,2,1263,1263,1155,0,108,1.0,0.9144893111638955,0.0,0.0855106888361045,occupation
2018,3,778,778,748,0,30,1.0,0.961439588688946,0.0,0.038560411311053984,occupation
2018,4,471,471,452,0,19,1.0,0.9596602972399151,0.0,0.040339702760084924,occupation
2018,5,502,502,502,0,0,1.0,1.0,0.0,0.0,occupation
2018,6,34,34,34,0,0,1.0,1.0,0.0,0.0,occupation
2018,7,475,475,407,0,68,1.0,0.8568421052631578,0.0,0.1431578947368421,occupation
2018,8,125,125,111,0,14,1.0,0.888,0.0,0.112,occupation
2018,9,104,104,102,0,2,1.0,0.9807692307692307,0.0,0.019230769230769232,occupation
2019,1,244,244,233,0,11,1.0,0.9549180327868853,0.0,0.045081967213114756,occupation
2019,2,1380,1380,1243,0,137,1.0,0.9007246376811594,0.0,0.09927536231884058,occupation
2019,3,807,807,784,0,23,1.0,0.9714993804213135,0.0,0.028500619578686492,occupation
2019,4,459,459,414,0,45,1.0,0.9019607843137255,0.0,0.09803921568627451,occupation
2019,5,486,486,486,0,0,1.0,1.0,0.0,0.0,occupation
2019,6,25,25,25,0,0,1.0,1.0,0.0,0.0,occupation
2019,7,483,483,407,0,76,1.0,0.8426501035196687,0.0,0.15734989648033126,occupation
2019,8,121,121,107,0,14,1.0,0.8842975206611571,0.0,0.11570247933884298,occupation
2019,9,81,81,76,0,5,1.0,0.9382716049382716,0.0,0.06172839506172839,occupation
2020,1,267,267,259,0,8,1.0,0.9700374531835206,0.0,0.0299625468164794,occupation
2020,2,1340,1340,1214,0,126,1.0,0.9059701492537313,0.0,0.09402985074626866,occupation
2020,3,767,767,742,0,25,1.0,0.9674054758800521,0.0,0.03259452411994785,occupation
2020,4,401,401,368,0,33,1.0,0.9177057356608479,0.0,0.08229426433915212,occupation
2020,5,478,478,478,0,0,1.0,1.0,0.0,0.0,occupation
2020,6,22,22,22,0,0,1.0,1.0,0.0,0.0,occupation
2020,7,426,426,359,0,67,1.0,0.8427230046948356,0.0,0.1572769953051643,occupation
2020,8,139,139,109,0,30,1.0,0.7841726618705036,0.0,0.2158273381294964,occupation
