adve_time_year,_cat,count,share,level,label
2019,M,292,0.0714635340186001,noga_section,"Professional, scientific and technical activities"
2019,O,232,0.056779246206558984,noga_section,Public administration and defence; compulsory social security
2019,Other,437,0.10695056289769946,noga_section,
2019,P,220,0.05384238864415076,noga_section,Education
2019,Q,641,0.15687714145863926,noga_section,Human health and social work activities
2020,C,748,0.19091373149566104,noga_section,Manufacturing
2020,F,253,0.06457376212353241,noga_section,Construction
2020,G,517,0.13195507912200102,noga_section,Wholesale and retail trade; repair of motor vehicles
2020,H,164,0.04185809086268504,noga_section,Transportation and storage
2020,J,154,0.039305768249106685,noga_section,Information and communication
2020,K,280,0.07146503318019398,noga_section,Financial and insurance activities
2020,M,263,0.06712608473711078,noga_section,"Professional, scientific and technical activities"
2020,O,224,0.05717202654415518,noga_section,Public administration and defence; compulsory social security
2020,Other,441,0.1125574272588055,noga_section,
2020,P,217,0.05538540071465033,noga_section,Education
2020,Q,657,0.16768759571209801,noga_section,Human health and social work activities
2021,C,750,0.1873594803897077,noga_section,Manufacturing
2021,F,310,0.0774419185610792,noga_section,Construction
2021,G,465,0.11616287784161879,noga_section,Wholesale and retail trade; repair of motor vehicles
2021,H,162,0.040469647764176865,noga_section,Transportation and storage
2021,J,174,0.04346739945041219,noga_section,Information and communication
2021,K,323,0.08068948288783412,noga_section,Financial and insurance activities
2021,M,297,0.07419435423432426,noga_section,"Professional, scientific and technical activities"
2021,O,234,0.05845615788158881,noga_section,Public administration and defence; compulsory social security
2021,Other,383,0.09567824131901075,noga_section,
2021,P,235,0.05870597052210842,noga_section,Education
2021,Q,670,0.1673744691481389,noga_section,Human health and social work activities
2022,C,797,0.20095814422592032,noga_section,Manufacturing
2022,F,181,0.04563792233988906,noga_section,Construction
2022,G,415,0.10463943519919314,noga_section,Wholesale and retail trade; repair of motor vehicles
2022,H,95,0.02395360564800807,noga_section,Transportation and storage
2022,J,288,0.07261724659606657,noga_section,Information and communication
2022,K,248,0.06253151790216843,noga_section,Financial and insurance activities
2022,M,210,0.0529500756429652,noga_section,"Professional, scientific and technical activities"
2022,O,77,0.019415027735753907,noga_section,Public administration and defence; compulsory social security
2022,Other,849,0.2140695915279879,noga_section,
2022,P,172,0.04336863338376198,noga_section,Education
2022,Q,634,0.15985879979828543,noga_section,Human health and social work activities
2023,C,727,0.1958512931034483,noga_section,Manufacturing
2023,F,183,0.049299568965517244,noga_section,Construction
2023,G,432,0.11637931034482758,noga_section,Wholesale and retail trade; repair of motor vehicles
2023,H,87,0.0234375,noga_section,Transportation and storage
2023,J,221,0.05953663793103448,noga_section,Information and communication
2023,K,196,0.052801724137931036,noga_section,Financial and insurance activities
2023,M,154,0.041487068965517244,noga_section,"Professional, scientific and technical activities"
2023,O,64,0.017241379310344827,noga_section,Public administration and defence; compulsory social security
2023,Other,905,0.24380387931034483,noga_section,
2023,P,161,0.04337284482758621,noga_section,Education
2023,Q,582,0.1567887931034483,noga_section,Human health and social work activities
2024,C,750,0.18839487565938207,noga_section,Manufacturing
2024,F,176,0.04420999748806832,noga_section,Construction
2024,G,401,0.10072846018588294,noga_section,Wholesale and retail trade; repair of motor vehicles
2024,H,127,0.03190153227832203,noga_section,Transportation and storage
2024,J,211,0.05300175835217282,noga_section,Information and communication
2024,K,229,0.05752323536799799,noga_section,Financial and insurance activities
2024,M,139,0.03491585028887214,noga_section,"Professional, scientific and technical activities"
2024,O,55,0.013815624215021352,noga_section,Public administration and defence; compulsory social security
2024,Other,1067,0.2680231097714142,noga_section,
2024,P,174,0.04370761115297664,noga_section,Education
2024,Q,652,0.16377794523988948,noga_section,Human health and social work activities
