code,count,share,level
5223,2349,0.03928487808141285,isco4
2221,2293,0.038348329263805735,isco4
4110,2216,0.037060574639595945,isco4
2512,1667,0.02787905140984045,isco4
4419,1400,0.023413720440177945,isco4
3112,1033,0.017275980867645584,isco4
5131,1015,0.01697494731912901,isco4
1221,945,0.015804261297120113,isco4
2431,919,0.015369435060373951,isco4
3313,806,0.013479613339131016,isco4
