adve_time_year,_cat,count,share,level,label
2017,Other,1789,0.45942475603492555,comp_indu_noga,
2018,15,150,0.03712871287128713,comp_indu_noga,Manufacture of machinery and equipment
2018,21,235,0.05816831683168317,comp_indu_noga,Specialised construction activities
2018,24,279,0.06905940594059407,comp_indu_noga,Retail trade (excluding motor vehicles and motorcycles)
2018,30,134,0.03316831683168317,comp_indu_noga,Food and beverage service activities
2018,32,155,0.038366336633663366,comp_indu_noga,Telecommunications; IT services; information service activities
2018,33,171,0.04232673267326733,comp_indu_noga,Financial service activities
2018,39,212,0.05247524752475247,comp_indu_noga,Architectural and engineering activities; technical testing and analysis
2018,42,309,0.07648514851485148,comp_indu_noga,Public administration and defence; compulsory social security
2018,43,209,0.05173267326732673,comp_indu_noga,Education
2018,44,385,0.0952970297029703,comp_indu_noga,Human health activities
2018,Other,1801,0.4457920792079208,comp_indu_noga,
2019,15,150,0.03671071953010279,comp_indu_noga,Manufacture of machinery and equipment
2019,21,188,0.04601076847772883,comp_indu_noga,Specialised construction activities
2019,24,319,0.0780714635340186,comp_indu_noga,Retail trade (excluding motor vehicles and motorcycles)
2019,30,79,0.019334312285854135,comp_indu_noga,Food and beverage service activities
2019,32,125,0.03059226627508566,comp_indu_noga,Telecommunications; IT services; information service activities
2019,33,180,0.04405286343612335,comp_indu_noga,Financial service activities
2019,39,178,0.04356338717572198,comp_indu_noga,Architectural and engineering activities; technical testing and analysis
2019,42,232,0.056779246206558984,comp_indu_noga,Public administration and defence; compulsory social security
2019,43,220,0.05384238864415076,comp_indu_noga,Education
2019,44,444,0.10866372980910426,comp_indu_noga,Human health activities
2019,Other,1971,0.48237885462555063,comp_indu_noga,
2020,15,122,0.031138335885655948,comp_indu_noga,Manufacture of machinery and equipment
2020,21,174,0.0444104134762634,comp_indu_noga,Specialised construction activities
2020,24,295,0.07529351710056151,comp_indu_noga,Retail trade (excluding motor vehicles and motorcycles)
2020,30,96,0.02450229709035222,comp_indu_noga,Food and beverage service activities
2020,32,129,0.032924961715160794,comp_indu_noga,Telecommunications; IT services; information service activities
2020,33,159,0.04058192955589587,comp_indu_noga,Financial service activities
2020,39,168,0.042879019908116385,comp_indu_noga,Architectural and engineering activities; technical testing and analysis
2020,42,224,0.05717202654415518,comp_indu_noga,Public administration and defence; compulsory social security
2020,43,217,0.05538540071465033,comp_indu_noga,Education
2020,44,456,0.11638591117917305,comp_indu_noga,Human health activities
2020,Other,1878,0.4793261868300153,comp_indu_noga,
2021,15,141,0.03522358231326505,comp_indu_noga,Manufacture of machinery and equipment
2021,21,236,0.05895578316262803,comp_indu_noga,Specialised construction activities
2021,24,277,0.06919810142393205,comp_indu_noga,Retail trade (excluding motor vehicles and motorcycles)
2021,30,53,0.013240069947539346,comp_indu_noga,Food and beverage service activities
2021,32,156,0.0389707719210592,comp_indu_noga,Telecommunications; IT services; information service activities
2021,33,182,0.045465900574569076,comp_indu_noga,Financial service activities
2021,39,163,0.04071946040469648,comp_indu_noga,Architectural and engineering activities; technical testing and analysis
2021,42,234,0.05845615788158881,comp_indu_noga,Public administration and defence; compulsory social security
2021,43,235,0.05870597052210842,comp_indu_noga,Education
2021,44,486,0.1214089432925306,comp_indu_noga,Human health activities
2021,Other,1840,0.4596552585560829,comp_indu_noga,
2022,15,87,0.02193645990922844,comp_indu_noga,Manufacture of machinery and equipment
2022,21,104,0.026222894604135148,comp_indu_noga,Specialised construction activities
2022,24,245,0.06177508825012607,comp_indu_noga,Retail trade (excluding motor vehicles and motorcycles)
2022,30,67,0.016893595562279373,comp_indu_noga,Food and beverage service activities
2022,32,77,0.019415027735753907,comp_indu_noga,Telecommunications; IT services; information service activities
2022,33,206,0.05194150277357539,comp_indu_noga,Financial service activities
2022,39,144,0.036308623298033284,comp_indu_noga,Architectural and engineering activities; technical testing and analysis
2022,42,77,0.019415027735753907,comp_indu_noga,Public administration and defence; compulsory social security
2022,43,172,0.04336863338376198,comp_indu_noga,Education
2022,44,476,0.1200201714573878,comp_indu_noga,Human health activities
2022,Other,2311,0.5827029752899647,comp_indu_noga,
2023,15,94,0.025323275862068964,comp_indu_noga,Manufacture of machinery and equipment
2023,21,107,0.02882543103448276,comp_indu_noga,Specialised construction activities
2023,24,271,0.07300646551724138,comp_indu_noga,Retail trade (excluding motor vehicles and motorcycles)
2023,30,85,0.022898706896551723,comp_indu_noga,Food and beverage service activities
2023,32,87,0.0234375,comp_indu_noga,Telecommunications; IT services; information service activities
2023,33,144,0.03879310344827586,comp_indu_noga,Financial service activities
2023,39,94,0.025323275862068964,comp_indu_noga,Architectural and engineering activities; technical testing and analysis
2023,42,64,0.017241379310344827,comp_indu_noga,Public administration and defence; compulsory social security
2023,43,161,0.04337284482758621,comp_indu_noga,Education
2023,44,449,0.12095905172413793,comp_indu_noga,Human health activities
2023,Other,2156,0.5808189655172413,comp_indu_noga,
2024,15,96,0.024114544084400905,comp_indu_noga,Manufacture of machinery and equipment
2024,21,106,0.026626475759859332,comp_indu_noga,Specialised construction activities
2024,24,276,0.0693293142426526,comp_indu_noga,Retail trade (excluding motor vehicles and motorcycles)
2024,30,95,0.023863350916855063,comp_indu_noga,Food and beverage service activities
2024,32,71,0.017834714895754836,comp_indu_noga,Telecommunications; IT services; information service activities
2024,33,174,0.04370761115297664,comp_indu_noga,Financial service activities
2024,39,75,0.018839487565938208,comp_indu_noga,Architectural and engineering activities; technical testing and analysis
2024,42,55,0.013815624215021352,comp_indu_noga,Public administration and defence; compulsory social security
2024,43,174,0.04370761115297664,comp_indu_noga,Education
2024,44,477,0.11981914091936699,comp_indu_noga,Human health activities
2024,Other,2382,0.5983421250941975,comp_indu_noga,
