loca_regi_nuts_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
1,7935,7935,7348,0,587,1.0,0.9260239445494644,0.0,0.07397605545053561,occupation
2,12285,12285,11141,0,1144,1.0,0.9068783068783068,0.0,0.09312169312169312,occupation
3,8096,8096,7388,0,708,1.0,0.9125494071146245,0.0,0.08745059288537549,occupation
4,14532,14532,13479,0,1053,1.0,0.9275392237819984,0.0,0.07246077621800165,occupation
5,7538,7538,6776,0,762,1.0,0.8989121782966304,0.0,0.10108782170336959,occupation
6,5029,5029,4583,0,446,1.0,0.9113143766156293,0.0,0.08868562338437065,occupation
7,999,999,902,0,97,1.0,0.9029029029029029,0.0,0.0970970970970971,occupation
,3380,3380,3126,0,254,1.0,0.9248520710059172,0.0,0.07514792899408285,occupation
