adve_time_year,loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2012,13,82,82,79,0,3,1.0,0.9634146341463414,0.0,0.036585365853658534,industry
2012,14,48,48,47,0,1,1.0,0.9791666666666666,0.0,0.020833333333333332,industry
2012,15,21,21,21,0,0,1.0,1.0,0.0,0.0,industry
2012,16,5,5,5,0,0,1.0,1.0,0.0,0.0,industry
2012,17,245,245,241,0,4,1.0,0.9836734693877551,0.0,0.0163265306122449,industry
2012,18,73,73,72,0,1,1.0,0.9863013698630136,0.0,0.0136986301369863,industry
2012,19,281,281,269,0,12,1.0,0.9572953736654805,0.0,0.042704626334519574,industry
2012,20,75,75,73,0,2,1.0,0.9733333333333334,0.0,0.02666666666666667,industry
2012,21,64,64,59,0,5,1.0,0.921875,0.0,0.078125,industry
2012,22,218,218,207,0,11,1.0,0.9495412844036697,0.0,0.05045871559633028,industry
2012,23,174,174,172,0,2,1.0,0.9885057471264368,0.0,0.011494252873563218,industry
2012,24,83,83,82,0,1,1.0,0.9879518072289156,0.0,0.012048192771084338,industry
2012,25,177,177,163,0,14,1.0,0.9209039548022598,0.0,0.07909604519774012,industry
2012,26,19,19,18,0,1,1.0,0.9473684210526315,0.0,0.05263157894736842,industry
2012,,253,253,210,0,43,1.0,0.8300395256916996,0.0,0.16996047430830039,industry
2013,1,1034,1034,1009,0,25,1.0,0.9758220502901354,0.0,0.024177949709864602,industry
2013,2,605,605,599,0,6,1.0,0.9900826446280991,0.0,0.009917355371900827,industry
2013,3,159,159,157,0,2,1.0,0.9874213836477987,0.0,0.012578616352201259,industry
2013,4,6,6,6,0,0,1.0,1.0,0.0,0.0,industry
2013,5,60,60,59,0,1,1.0,0.9833333333333333,0.0,0.016666666666666666,industry
2013,6,12,12,11,0,1,1.0,0.9166666666666666,0.0,0.08333333333333333,industry
2013,7,8,8,8,0,0,1.0,1.0,0.0,0.0,industry
2013,8,32,32,32,0,0,1.0,1.0,0.0,0.0,industry
2013,9,71,71,71,0,0,1.0,1.0,0.0,0.0,industry
2013,10,79,79,75,0,4,1.0,0.9493670886075949,0.0,0.05063291139240506,industry
2013,11,150,150,149,0,1,1.0,0.9933333333333333,0.0,0.006666666666666667,industry
2013,12,197,197,192,0,5,1.0,0.9746192893401016,0.0,0.025380710659898477,industry
2013,13,130,130,129,0,1,1.0,0.9923076923076923,0.0,0.007692307692307693,industry
2013,14,66,66,66,0,0,1.0,1.0,0.0,0.0,industry
2013,15,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2013,16,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2013,17,241,241,228,0,13,1.0,0.946058091286307,0.0,0.05394190871369295,industry
2013,18,125,125,105,0,20,1.0,0.84,0.0,0.16,industry
