comp_indu_noga,count,classification,reason
51,1737,structural (no NOGA exposure mapping),comp_indu_noga not present in exposure lookup (collapsed NOGA mapping)
50,927,structural (no NOGA exposure mapping),comp_indu_noga not present in exposure lookup (collapsed NOGA mapping)
