measure,p80,p90,share_top20_tru2,share_top10_tru2,share_bottom10_tru2,share_top20_tru1,share_top10_tru1,share_bottom10_tru1
occupation,1.2383682999999999,1.284863,0.17846359431329695,0.08349511883936858,0.11561749625841267,0.183060296314039,0.0861368875679738,0.1093388327268617
industry,-0.11150409999999998,0.02903156181818183,0.18681793087458953,0.09276932110280603,0.07599158530725016,0.17837515139080742,0.08794925562828972,0.07691875736021936
