year,occ_mean_exp,ind_mean_exp,occ_high_share_known,ind_high_share_known
2010,0.3680687892913968,-0.5134626909172777,0.2334595086018688,0.19067575950086157
2011,0.2870455260554859,-0.5273466200338166,0.1939796434831182,0.16521928150634937
2012,0.36233710070120734,-0.5353372831295373,0.18134863183321892,0.23127798916169073
2013,0.282648564000116,-0.563065423179193,0.16869219746955502,0.21437550861461888
2014,0.2590220701459306,-0.5308072125271712,0.18232595186197742,0.23655601700403514
2015,0.23826864061763434,-0.5195742750864772,0.20660505401740553,0.24032302301264896
2016,0.3113598580120118,-0.5645392467192267,0.20081211394577955,0.18764609630152745
2017,0.3082527939361394,-0.5597557129461491,0.20204695587537566,0.18853506335082318
2018,0.3754838158823476,-0.578598136937427,0.21257042480882216,0.1706199459488527
2019,0.284366813926632,-0.5788210977501078,0.208896310792618,0.17978596231452026
2020,0.3113464544971208,-0.5882423604129565,0.18757294873958016,0.18701071468439662
2021,0.295407665943687,-0.5874566266589076,0.20796093824578601,0.19331993062214792
2022,0.40611093113078417,-0.5427345511264089,0.21058484248388687,0.23788907257854042
2023,0.268167311500092,-0.5102956872471645,0.18428639975797265,0.2591398499156963
2024,0.12150406389784492,-0.49901515510572614,0.15807712650641978,0.29471903719345677
