comp_indu_noga,noga2,noga_section,indu_comp_noga_label_en,indu_comp_noga_label_de,noga_section_label
32,61,J,Telecommunications; IT services; information service activities,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen",Information and communication
32,62,J,Telecommunications; IT services; information service activities,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen",Information and communication
32,63,J,Telecommunications; IT services; information service activities,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen",Information and communication
33,64,K,Financial service activities,Erbringung von Finanzdienstleistungen,Financial and insurance activities
34,65,K,"Insurance, reinsurance and pension funding (excluding social security)","Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung)",Financial and insurance activities
35,66,K,Activities auxiliary to financial and insurance services,Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten,Financial and insurance activities
36,68,L,Real estate activities,Grundstücks- und Wohnungswesen,Real estate activities
37,69,M,Legal and accounting activities; auditing; tax consultancy,Rechts- und Steuerberatung. Wirtschaftsprüfung,"Professional, scientific and technical activities"
38,70,M,Activities of head offices; management consultancy activities,Verwaltung und Führung von Untemehmen und Betrieben; Unternehmensberatung,"Professional, scientific and technical activities"
39,71,M,Architectural and engineering activities; technical testing and analysis,"Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung","Professional, scientific and technical activities"
40,72,M,"Scientific research and development; other professional, scientific and technical activities; veterinary activities","Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen","Professional, scientific and technical activities"
40,73,M,"Scientific research and development; other professional, scientific and technical activities; veterinary activities","Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen","Professional, scientific and technical activities"
40,74,M,"Scientific research and development; other professional, scientific and technical activities; veterinary activities","Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen","Professional, scientific and technical activities"
40,75,M,"Scientific research and development; other professional, scientific and technical activities; veterinary activities","Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen","Professional, scientific and technical activities"
41,77,N,Administrative and other business support service activities,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,Administrative and support service activities
41,78,N,Administrative and other business support service activities,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,Administrative and support service activities
41,79,N,Administrative and other business support service activities,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,Administrative and support service activities
41,80,N,Administrative and other business support service activities,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,Administrative and support service activities
41,81,N,Administrative and other business support service activities,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,Administrative and support service activities
41,82,N,Administrative and other business support service activities,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,Administrative and support service activities
42,84,O,Public administration and defence; compulsory social security,"Öffentliche Verwaltung, Verteidigung; Sozialversicherung",Public administration and defence; compulsory social security
43,85,P,Education,Erziehung und Unterricht,Education
44,86,Q,Human health activities,Gesundheitswesen,Human health and social work activities
45,87,Q,Residential care activities (excluding holiday and recreational homes),Heime (ohne Erholungs- und Ferienheime),Human health and social work activities
46,88,Q,Social work activities without accommodation,Sozialwesen (ohne Heime),Human health and social work activities
47,90,R,"Arts, entertainment and recreation","Kunst, Unterhaltung und Erholung","Arts, entertainment and recreation"
47,91,R,"Arts, entertainment and recreation","Kunst, Unterhaltung und Erholung","Arts, entertainment and recreation"
47,92,R,"Arts, entertainment and recreation","Kunst, Unterhaltung und Erholung","Arts, entertainment and recreation"
47,93,R,"Arts, entertainment and recreation","Kunst, Unterhaltung und Erholung","Arts, entertainment and recreation"
48,94,S,Membership organisations; religious and other associations (excluding social work and sports),Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen (ohne Sozialwesen und Sport),Other service activities
49,95,S,Repair of computers and personal/household goods; other predominantly personal service activities,"Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen",Other service activities
49,96,S,Repair of computers and personal/household goods; other predominantly personal service activities,"Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen",Other service activities
50,97,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households,Private Haushalte,Activities of households as employers
50,98,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households,Private Haushalte,Activities of households as employers
51,99,U,Not stated; activities of extraterritorial organisations and bodies,"keine Angabe, Exterritoriale Organisationen und Körperschaften",Activities of extraterritorial organisations
