comp_indu_noga,noga_2digit,label_de,label_full_de,noga_divisions_group
26,51,Schifffahrt und Luftfahrt,50/51 Schifffahrt und Luftfahrt,50/51
27,52,Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,52 Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,52
28,53,"Post-, Kurier- und Expressdienste","53 Post-, Kurier- und Expressdienste",53
29,55,Beherbergung,55 Beherbergung,55
30,56,Gastronomie,56 Gastronomie,56
31,58,"Verlagswesen, audiovisuelle Medien und Rundfunk","58/59/60 Verlagswesen, audiovisuelle Medien und Rundfunk",58/59/60
31,59,"Verlagswesen, audiovisuelle Medien und Rundfunk","58/59/60 Verlagswesen, audiovisuelle Medien und Rundfunk",58/59/60
31,60,"Verlagswesen, audiovisuelle Medien und Rundfunk","58/59/60 Verlagswesen, audiovisuelle Medien und Rundfunk",58/59/60
32,61,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen","61/62/63 Telekommunikation, Informationstechnologische und Informationsdienstleistungen",61/62/63
32,62,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen","61/62/63 Telekommunikation, Informationstechnologische und Informationsdienstleistungen",61/62/63
32,63,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen","61/62/63 Telekommunikation, Informationstechnologische und Informationsdienstleistungen",61/62/63
33,64,Erbringung von Finanzdienstleistungen,64 Erbringung von Finanzdienstleistungen,64
34,65,"Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung)","65 Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung)",65
35,66,Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten,66 Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten,66
36,68,Grundstücks- und Wohnungswesen,68 Grundstücks- und Wohnungswesen,68
37,69,Rechts- und Steuerberatung. Wirtschaftsprüfung,69 Rechts- und Steuerberatung. Wirtschaftsprüfung,69
38,70,Verwaltung und Führung von Untemehmen und Betrieben; Unternehmensberatung,70 Verwaltung und Führung von Untemehmen und Betrieben; Unternehmensberatung,70
39,71,"Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung","71 Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung",71
40,72,"Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen","72/73/74/75 Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen",72/73/74/75
40,73,"Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen","72/73/74/75 Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen",72/73/74/75
40,74,"Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen","72/73/74/75 Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen",72/73/74/75
40,75,"Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen","72/73/74/75 Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen",72/73/74/75
41,00,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82 Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82
41,17,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82 Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82
41,18,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82 Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82
41,77,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82 Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82
41,79,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82 Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82
41,81,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82 Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82
41,82,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82 Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82
42,84,"Öffentliche Verwaltung, Verteidigung; Sozialversicherung","84 Öffentliche Verwaltung, Verteidigung; Sozialversicherung",84
43,85,Erziehung und Unterricht,85 Erziehung und Unterricht,85
44,86,Gesundheitswesen,86 Gesundheitswesen,86
45,87,Heime (ohne Erholungs- und Ferienheime),87 Heime (ohne Erholungs- und Ferienheime),87
46,88,Sozialwesen (ohne Heime),88 Sozialwesen (ohne Heime),88
47,80,"Kunst, Unterhaltung und Erholung","80/91/92/93 Kunst, Unterhaltung und Erholung",80/91/92/93
47,91,"Kunst, Unterhaltung und Erholung","80/91/92/93 Kunst, Unterhaltung und Erholung",80/91/92/93
47,92,"Kunst, Unterhaltung und Erholung","80/91/92/93 Kunst, Unterhaltung und Erholung",80/91/92/93
47,93,"Kunst, Unterhaltung und Erholung","80/91/92/93 Kunst, Unterhaltung und Erholung",80/91/92/93
48,94,Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen (ohne Sozialwesen und Sport),94 Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen (ohne Sozialwesen und Sport),94
49,95,"Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen","95/96 Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen",95/96
49,96,"Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen","95/96 Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen",95/96
50,97,Private Haushalte,97/98 Private Haushalte,97/98
50,98,Private Haushalte,97/98 Private Haushalte,97/98
51,99,"keine Angabe, Exterritoriale Organisationen und Körperschaften","NA/99 keine Angabe, Exterritoriale Organisationen und Körperschaften",NA/99
